,Name,Position,Team,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
77,Steven Adams,C,Memphis Grizzlies,17926829.0,17073171.0,29592696.0,25842697.0,24157303.0,22471910.0,3140517.0,2279040.0,2184960.0,2090880.0,,,,,,,,
78,Gary Trent Jr.,SG,Toronto Raptors,17505000.0,16000000.0,1663861.0,1416852.0,838464.0,,,,,,,,,,,,,
79,Jonathan Isaac,PF,Orlando Magic,17400000.0,17400000.0,7362566.0,5806440.0,4969080.0,4969080.0,,,,,,,,,,,,
80,OG Anunoby,SF,Toronto Raptors,17357143.0,16071429.0,3872215.0,2281800.0,2034120.0,2034120.0,,,,,,,,,,,,
81,Marcus Smart,PG,Boston Celtics,17207141.0,14339285.0,13446428.0,12553571.0,11660716.0,,3578880.0,3431040.0,3283320.0,,,,,,,,,
82,Mitchell Robinson,C,New York Knicks,17045454.0,1802057.0,1663861.0,1599712.0,1485440.0,,,,,,,,,,,,,
83,Duncan Robinson,SG,Miami Heat,16902000.0,15650000.0,1663861.0,1416852.0,,,,,,,,,,,,,,
84,Derrick White,PG,Boston Celtics,16892857.0,15178571.0,3516284.0,1948080.0,1667160.0,1404600.0,,,,,,,,,,,,
85,Norman Powell,SF,LA Clippers,16758621.0,15517241.0,10865952.0,10116576.0,9367200.0,9367200.0,874636.0,650000.0,,,,,,,,,,
86,Dejounte Murray,SG,Atlanta Hawks,16571120.0,15428880.0,14286000.0,2321735.0,1544951.0,1312611.0,1180080.0,,,,,,,,,,,
87,Markelle Fultz,PG,Orlando Magic,16500000.0,16500000.0,12288697.0,9745200.0,8339880.0,8339880.0,,,,,,,,,,,,
88,Lauri Markkanen,PF,Cleveland Cavaliers,16475454.0,15690909.0,6731508.0,5300400.0,4536120.0,4536120.0,,,,,,,,,,,,
89,Marcus Morris Sr.,SF,LA Clippers,16372093.0,15627907.0,14888721.0,15000000.0,5375000.0,5000000.0,4625000.0,5000000.0,2943221.0,1987320.0,1987320.0,1823280.0,,,,,,
90,Davis Bertans,SF,Dallas Mavericks,16000000.0,16000000.0,15000000.0,7000000.0,7000000.0,1312611.0,543471.0,,,,,,,,,,,
91,Jusuf Nurkic,C,Portland Trail Blazers,15625000.0,12000000.0,12888889.0,13125000.0,11111111.0,2947305.0,1921320.0,1842000.0,1762680.0,,,,,,,,,
92,Malik Beasley,SG,Utah Jazz,15558035.0,14491964.0,13425895.0,2731714.0,1773840.0,1700640.0,1627320.0,,,,,,,,,,,
93,Luguentz Dort,SF,Oklahoma City Thunder,15277778.0,1782621.0,1517981.0,,,,,,,,,,,,,,,
94,Jonas Valanciunas,C,New Orleans Pelicans,14700000.0,14000000.0,15000000.0,16000000.0,16539326.0,16539326.0,14382023.0,4660482.0,3678360.0,3526440.0,3374640.0,,,,,,,
95,Derrick Rose,PG,New York Knicks,14520730.0,13445120.0,7682927.0,7317073.0,1512601.0,,21323252.0,20093064.0,18862876.0,17632688.0,17632688.0,6993708.0,5546160.0,5184480.0,4822800.0,,,
96,Kevin Huerter,SG,Sacramento Kings,14508929.0,4253357.0,2761920.0,2636280.0,2250960.0,,,,,,,,,,,,,
97,Luke Kennard,SG,LA Clippers,14415545.0,13347727.0,5273826.0,3827160.0,3275280.0,3275280.0,,,,,,,,,,,,
98,Will Barton,SF,Washington Wizards,14375000.0,15625000.0,13723214.0,12776786.0,11830358.0,3533333.0,3533333.0,3533333.0,915243.0,788872.0,550000.0,,,,,,,
99,Christian Wood,C,Dallas Mavericks,14317460.0,13666667.0,13015873.0,1645357.0,1512601.0,874636.0,874636.0,525093.0,,,,,,,,,,
100,Wendell Carter Jr.,C,Orlando Magic,14150000.0,6920027.0,5448840.0,5201400.0,4441200.0,,,,,,,,,,,,,
101,Kentavious Caldwell-Pope,SG,Denver Nuggets,14004703.0,13038862.0,12073020.0,8089282.0,12000000.0,17745894.0,3678319.0,2891760.0,2772480.0,2653080.0,,,,,,,,
102,Brook Lopez,C,Milwaukee Bucks,13906976.0,13302325.0,12697674.0,12093023.0,3382000.0,22642650.0,21165675.0,19689000.0,15719062.0,14693906.0,13668750.0,3076983.0,2413320.0,2255880.0,2098560.0,,,
103,Doug McDermott,SF,San Antonio Spurs,13750000.0,13750000.0,7333333.0,7333333.0,7333333.0,3294994.0,2483040.0,2380440.0,2277960.0,,,,,,,,,
104,Zion Williamson,PF,New Orleans Pelicans,13534817.0,10733400.0,10245480.0,9757440.0,,,,,,,,,,,,,,
105,Jordan Clarkson,PG,Utah Jazz,13340000.0,12420000.0,11500000.0,13437500.0,12500000.0,12500000.0,12500000.0,845059.0,507336.0,,,,,,,,,
106,Kyle Kuzma,SF,Washington Wizards,13000000.0,13000000.0,3562178.0,1974600.0,1689840.0,1423560.0,,,,,,,,,,,,
107,Patrick Beverley,PG,Utah Jazz,13000000.0,14320988.0,13333333.0,12345680.0,5027028.0,5513514.0,6000000.0,6486486.0,915243.0,788872.0,281376.0,473604.0,473604.0,,,,,
108,Gary Harris,SG,Orlando Magic,13000000.0,20482143.0,19610714.0,17839286.0,16517857.0,2550055.0,1655880.0,1584480.0,1519200.0,,,,,,,,,
